sequence	hit	perc_identity	sample
V350096821L2C002R00700472390/1	McrA-PXAV01000083.1_7 - Methanolobus sp003565715 (Halobacteriota)	96.9	ShB
V350096821L2C002R02401056449/1	McrA-NZ_MBKP01000024.1_20 - Methanolobus psychrotolerans (Halobacteriota)	97	ShB
V350096821L2C002R04000335012/1	McrA-JAIPUR010000015.1_3 - Methanolobus sp020055655 (Halobacteriota)	97	ShB
V350096821L2C002R05801105237/1	McrA-CP003083.1_780 - Methanolobus psychrophilus (Halobacteriota)	100	ShB
V350096821L2C002R05700402485/1	McrA-JAIPUR010000015.1_3 - Methanolobus sp020055655 (Halobacteriota)	87.9	ShB
V350096821L2C002R05300477386/1	McrA-JAIPUR010000015.1_3 - Methanolobus sp020055655 (Halobacteriota)	100	ShB
V350096821L2C002R07100775756/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	100	ShB
V350096821L2C003R00900307454/1	McrA-JACWML010000049.1_11 - Bog-38 sp015661395 (Halobacteriota)	66.7	ShB
V350096821L2C003R03100549568/1	McrA-CP003083.1_780 - Methanolobus psychrophilus (Halobacteriota)	100	ShB
V350096821L2C003R03501066231/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	100	ShB
V350096821L2C003R06500802132/1	McrA-CP003083.1_780 - Methanolobus psychrophilus (Halobacteriota)	90.9	ShB
V350096821L2C004R00300690847/1	McrA-NC_007955.1_2588 - Methanococcoides burtonii (Halobacteriota)	100	ShB
V350096821L2C004R01200706069/1	McrA-JAIPUR010000015.1_3 - Methanolobus sp020055655 (Halobacteriota)	81.8	ShB
V350096821L2C004R04800936377/1	McrA-CP003083.1_780 - Methanolobus psychrophilus (Halobacteriota)	97	ShB
V350096821L2C004R04600297747/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	100	ShB
V350096821L2C005R06400748894/1	McrA-CP003083.1_780 - Methanolobus psychrophilus (Halobacteriota)	100	ShB
V350096821L2C006R00700961553/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	90.6	ShB
V350096821L2C006R00800935727/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	100	ShB
V350096821L2C006R00200991972/1	McrA-CP003083.1_780 - Methanolobus psychrophilus (Halobacteriota)	87.5	ShB
V350096821L1C002R01800972990/1	McrA-NC_017034.1_909 - Methanocella conradii (Halobacteriota)	100	ShS
V350096821L1C002R06901069462/1	McrA-JAAYDU010000061.1_57 - UBA472 sp012729095 (Thermoplasmatota)	100	ShS
V350096821L1C004R01800045207/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	100	ShS
V350096821L1C006R06300386837/1	McrA-NZ_MBKP01000024.1_20 - Methanolobus psychrotolerans (Halobacteriota)	96.9	ShS
V350096821L1C006R04301112013/1	McrA-JAIPUR010000015.1_3 - Methanolobus sp020055655 (Halobacteriota)	81.3	ShS
V350096821L2C002R03000790636/1	McrA-JAJFUR010000020.1_9 - UBA472 sp021372335 (Thermoplasmatota)	100	ShS
V350096821L2C003R03500125726/1	McrA-NZ_CP009528.1_83 - Methanosarcina barkeri (Halobacteriota)	93.9	ShS
V350096821L1C001R00200873804/1	McrA-JAAYST010000103.1_19 - Methanimicrococcus sp012518265 (Halobacteriota)	97	SKB0
V350096821L1C003R03400465228/1	McrA-NZ_AP019781.1_502 - Methanoculleus chikugoensis (Halobacteriota)	84.4	SKB0
V350096821L1C003R07000071577/1	McrA-NZ_JALJYG010000001.1_12 - Methanocalculus alkaliphilus (Halobacteriota)	100	SKB0
V350096821L1C005R00400009436/1	McrA-JAENZA010000012.1_24 - Methanogenium sp016841485 (Halobacteriota)	90.9	SKB0
V350096821L1C005R00801363757/1	McrA-NC_015676.1_866 - Methanosalsum zhilinae (Halobacteriota)	100	SKB0
V350096821L1C006R06500915455/1	McrA-NZ_AP019781.1_502 - Methanoculleus chikugoensis (Halobacteriota)	84.4	SKB0
V350096821L2C001R03601149335/1	McrA-JAENZA010000012.1_24 - Methanogenium sp016841485 (Halobacteriota)	81.3	SKB0
V350096821L2C003R01000964438/1	McrA-JAIPUR010000015.1_3 - Methanolobus sp020055655 (Halobacteriota)	75	SKB0
V350096821L1C005R02200085822/1	McrA-NZ_JAGGMN010000001.1_1212 - Methanofollis sp017875325 (Halobacteriota)	96.8	WSB
V350096821L1C006R03700692610/1	McrA-DSDF01000036.1_17 - DSDF01 sp011048835 (Halobacteriota)	96.9	WSB
V350096821L2C004R00700288993/1	McrA-NC_017527.1_524 - Methanothrix_A harundinacea_E (Halobacteriota)	100	WSB
V350096821L2C005R06601232580/1	McrA-NZ_JAGGMN010000001.1_1898 - Methanofollis sp017875325 (Halobacteriota)	90.6	WSB
V350096821L2C006R00400522924/1	McrA-DAOG01000076.1_19 - UBA204 sp002501765 (Halobacteriota)	93.9	WSB
